timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn,scenario_label
2026-08-21T13:38:37.495389Z,219.107.140.50,48.147.243.70,12848,8333,1893e868975daf235d52fb2741deaa746a631ca1046ea71d867bced119148fb1,3J4VDUw4RAbvZduwDxAzXvBeNgYnBREwXH,3zmsjZMWhayfXuobGZVtZHn1FCvktKBJBZ;3T6b813vZwB9mqyq22egyT7C8e1WoVxJUE,5857459,2928729;2898597,30133,p2sh,GB,AS16509,NORMAL_BASELINE
2026-08-21T13:52:05.495389Z,208.59.164.93,160.18.61.232,10306,8333,db0f76df1314babb6763ed1ba18fb4f811167669a34092ac08a25e0cc6a55712,bc1asduyvaeq9kjf0hv25g7d5gvtsdquvzd5290r4m,bc13tqrs7hq073p4knz02zetrh6gaeqsszz3ydkutd;bc1g2xqmcgsakmat5aptz9y3jpuvlhpzh7hajpzpuk,99278480,49639240;49625563,13677,p2wsh,DE,AS174,NORMAL_BASELINE
2026-08-21T14:15:20.495389Z,105.122.225.245,76.31.42.135,12331,8333,99cdf6ed5983538c538d5703c58152ae39ae8825d30b66443d4212360f1a9bc4,bc1pfxk5v9p2au370ftkmhf4ydh4n386hznwawdq9nc0fwfu6tnausdesjqztm,bc1p7cd3xv6hn2znlz6fhkhmtk5u4rqxcsnvwa8cc0js3qraa9ry7r4ua8gqug;bc1pfmucmmh72veaemctrxxtpjeaxjj7t0n04kv96ctagnf6aqedp6zle8dyd6;bc1pzmczkgress6jgwzrhvqql200v9gtrtzlay5dl2n3r5hp5tjhnhgw330gxz;bc1pqgkkrshf627hhcv05g8ys7zhfmrszqggxf5wacylf8uumz4p037u6f7knt;bc1p5hmgdt200e5x8ee0yda0h3ha564p50letlm93dxr94p348fqx95vjyhhy8;bc1pdg2yksde0n6srcxcdukyahcdxqystkkkg3ttl5szpujrn8j8t88m2h9st8;bc1p35qggu35rz4ypp49n55axnkpxrtkv7upygpgjs38lfya6rryx95cz75690,17555928,2507989;2507989;2507990;2507990;2507990;2507990;2495594,12396,p2tr,JP,AS2914,FAN_OUT_PEELING
2026-08-21T16:03:52.495389Z,9.92.119.241,212.219.244.109,29467,8333,b585d8274d3c616fdd1b5fd8841b68b355176c6c474b5e09858d18d454d3a52e,1rHLykFFZVbM8QiAtMKRbuFXE7ijGBN3Mj,1DnCcWFsX2SgeGMWKD3wjApWh74bHNBZzY;1rUmgD3UiJ5JdmTbnsQGADrv55QG1ASgGz,9147783,4573891;4557548,16344,p2pkh,RU,AS3215,NORMAL_BASELINE
2026-08-21T16:10:27.495389Z,111.247.242.25,58.221.131.192,20937,8333,19f42d96c4771fcf6f6e1113eb17d9f30456fbf948611b3e809516908c1b8d45,bc1j6sekd0e7j6san7xtye4h2c4pkwfzwslphfwzgt,bc184kg6kyq49l05p7cmk0hce46tpkeht89y8yuzuf;bc1v7ks79an6zgx3556hzscvkys0qkk4jffkzv85hp,15444970,7722485;7695088,27397,p2wpkh,IR,AS16509,NORMAL_BASELINE
2026-08-21T16:18:56.495389Z,101.214.198.179,239.204.78.66,19115,8333,3f07af9762d11450fe4e6bc2910d8dc3c5c3405f475335c964b08dea0a9b7157,bc1pwmgn064j5tplrss0fy8meffdhvyrzedghttj9l4gf6crk0x3swq4884esm,bc1pehsge3lvmqm6l99uf4ge9mrvfhsq70rhmvlxpkrw6napzg7xa0rrkhjw5d;bc1pcr5vac74ncpsr5m562tqrxw8skqa346sqywckw7rqkrnlyu4ujlg0rx28w,54874149,27437074;27400307,36768,p2tr,KR,AS3215,NORMAL_BASELINE
2026-08-21T19:41:50.495389Z,61.224.83.15,126.127.222.212,62219,8333,060a02db7db213e30664aca0533e3b5dde8fcd90dcf3ac0f54459d0728eefc9c,33epacjg7pfpDfiM9anAtrtzUgx3sBzM8A,3YEiPmXXHPr7rsHsBopuc68VZnR4QXjNin;3BwCREz4guLPyCknxwhMqG6yRpndKuPRUm,76394302,38197151;38163801,33350,p2sh,NG,AS174,NORMAL_BASELINE
2026-08-21T20:58:02.495389Z,84.6.206.107,205.53.130.87,48258,8333,97788fcab44c428b7782ffd7a1100618aad2be409111b69b4c924b7cc0a5f742,1qienupJg2aZUM8xecwfWvLTQSEArTPMFs,1joXwGmsN9Fy7VZ9Z3DUmTcT4U9LwmaYC9;1CypNn4ENX4wHaEoi4u5UqEPg5G9cZXeKV,46385751,23192875;23161660,31216,p2pkh,JP,AS2914,MULTI_SIGNAL_ANOMALY
2026-08-21T22:44:34.495389Z,5.34.117.222,107.65.66.84,37051,8333,901bce7d66e19ffaeafb71bc3b2b8b0f118b63d6c6cf2971d3de3c2013dce88a,bc1p9l55c8cr56lztc2q4mzfevsg0c7v7t2emmerx8ssgqrw207xmxvearvdkn,bc1ps8avteyww03yj8fu6q06fq2l6lpcy8ezj7wfygfy84zc7dd9slq3pw3uca;bc1p3ullnl9a85t6mlx0lfcl924k0rgjzrva7nru7kqf6rtngnvlaemqyudwm5;bc1p0jl0ruzvhz2u3gejjpx2nlsjk6h8efqr2v6um5nt03wm7slafadyka6p49;bc1peva2j4sfavay7l4r729kecmp3qkg6svvaqh0pgm3rmtmyzydhytp4mmeph;bc1pzmxx4mq8q360u0dwcjx8vvsnw4v7mgu6r35a45qjyw7p4x6870hergf7ak;bc1p7z4jw5axlsxy84dhazf54klzpuv2qxwjnm9ue3zrgf3cfdzvq8ztjzfsu4;bc1peq7zdu5k8t648rfe3man8pzhllzz2ryea6tl23nfn4qzu2pxpqkf2ytn06;bc1p6fqyv3e86mxwl45z0fdvq6tcs4kze7g6gaz7clmwgh4yx3tkjlpx8fwu3c;bc1p9a03muaugsd88jsaxejskct60pwurkaf736u86upj3450ctn9gefnsgncy;bc1p7h9unrlndt3q6chwc4nmg6vu2yvz048pkcd3ht42eanpwmcngwrl9z3efq;bc1ph4lecxxhfr3thup5eggmtxnw6dvpn7lr2zgm6767508eks66u8p04xvzt8;bc1phsahn62nuhd6sl5rw8nx342l54h0tlf0dnxpwfdlkgl3ejr6kkjfnse03n;bc1p4r945r6zenvrxsy5w4wl33nztvv9cndzcgpppgftmrmwevtq5q0a9zeryq;bc1pjl8qjpez4aul8mc26xw2dme34w77ds09w5qdhx3yck3e0azj62r0rskxvd;bc1pgd8e5k4umd4234uulwazezur9tr6wdtcx4utef9s7qy4tls75tky0ewmp7;bc1pevu9g46tkhjjq8nly3303zdpfudmh8qsyxcccppvd5zy8ks7mmpfshm8mm;bc1p4pexkwdsg09hfhvmzcvxs9a6kak57hsup6vv5pl6hpk7pn9x5g0hs2m3ad;bc1pnq9ms8gztwrtrlm3yxpxjd6hyt492y8a9nmj85mvnu6aslzupdx7mwn6dn;bc1pad45zlq9cpkzy3kqflees2w6avhy4c4ugy0awhwkphvh96jrv0ee8n5yf2;bc1ppkt2f2u4xejtvnlkzsd78wzhr4xey28ez9fqd5n6jr8tvxzv2ych4ttjyu;bc1pnqrucslarnrtquxydgh5nh46y8g4vscmf2nnjrjz87syv8sydr2m4jvgq3;bc1phy9yle7pftelkwpzwwklpxxgmngvwq22ue3fv5u9yckr7teah9zmy39g85;bc1pax3mvs9xuk9aut680xyef44te55enpu5tth3cqxq757qq099tjqus9ckdu;bc1pxd3yy0wkulgcewkt5ey94hhvwjasffl78u9h2m97l9e25rhnagzg2xgy3g;bc1p6esyu3tmzgus5stal793w2nrgvjxjvee7y05l79xkush9v7zvl0xa7jr3l;bc1pp4ctmg4jgwut43gchumxuxg2z77a53fcpzjklrlqejvdtufshx37f2hksk;bc1pfem5r62sz65zau6m9l8s0ex7v8z23w2tss6z597ujsauhsl3f78cegdzkm;bc1pvkj5uykd9kv79lkdw4lmyj7ze9872ur754x6v9rpa5ucvvp0a0s2a8rd0a;bc1pf5umcqckyxza6a8g6zy093mp9qkwemhldulfgsqd84ygrkjckgseplpagt;bc1p0ggrarupdujdgedc3dldfetxzd7cx9ec0e0crms6350rj2d4u04pspfn5l;bc1p5ng56jn22yn4l0z9skgvjv7qukljnz5es6q58xeewrat90plgh9dmqrdlq;bc1pcxamuffulrj5vh25a3vj8yh5ply87p98hjdgghtdk2ta7fpy3uj0tmq006;bc1pv8desq4hhv8ysw7u74fx4rgt24udjyuap9z8q4rfm642wesxhzt5d32zg0,25849130,783306;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;783307;744567,38740,p2tr,KR,AS714,FAN_OUT_PEELING
2026-08-21T23:30:04.495389Z,6.112.101.129,105.239.225.34,49131,8333,6728d237c1ce92860570f0a4e09badc60d2595ffe8d04819386f11164e552baf,3w1r9UckKu4HN4wBEampA2Gvn3YTwooov1,3TAAoHt4pivGtTn6vehKG7nbsv3MYYv9gd;3Ls4AboagPkHFWjwVdTm5B853Xy3hyZok3,61252777,30626388;30601456,24933,p2sh,IR,AS3356,NORMAL_BASELINE
